id,template_id,section,label,unique_name,type,options,order,field_group_order,created_at,updated_at
13,5,General,Age,general.age,text,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",4,2,2026-03-08 21:33:16,2026-03-30 05:30:09
14,5,General,Operator,general.operator,text,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",6,2,2026-03-08 21:33:16,2026-03-30 05:30:09
15,5,General,Gender,general.gender,select,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""Male"",""Female""]}",5,2,2026-03-08 21:33:16,2026-03-30 05:30:09
16,5,General,DOB,general.dob,date,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",3,2,2026-03-08 21:33:16,2026-03-30 05:30:09
17,5,General,Study Date,general.study_date,date,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",7,2,2026-03-08 21:33:16,2026-03-30 05:30:09
18,5,General,Referring Physician,general.referring_physician,text,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",9,2,2026-03-08 21:33:16,2026-03-30 05:30:09
19,5,General,Diagnosis,general.diagnosis,text,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",8,2,2026-03-08 21:33:16,2026-03-30 05:30:09
20,5,General,Medical Device,general.medical_device,text,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",10,2,2026-03-08 21:33:16,2026-03-30 05:30:09
21,5,Measurements & Calculations,AO Diameter,measurements_calculations.ao_diameter,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""AO Diameter"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",3,3,2026-03-13 03:26:56,2026-03-30 05:30:09
23,5,Measurements & Calculations,BSA,measurements_calculations.bsa,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""BSA"",""measurement_unit"":""m\u00b2"",""measurement_category"":""basic""}",2,3,2026-03-13 03:26:57,2026-03-30 05:30:09
24,5,Measurements & Calculations,LA diameter,measurements_calculations.la_diameter,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LA diameter"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",4,3,2026-03-13 03:26:57,2026-03-30 05:30:09
25,5,Measurements & Calculations,LVOT diameter,measurements_calculations.lvot_diameter,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LVOT diameter"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",5,3,2026-03-13 03:48:55,2026-03-30 05:30:09
26,5,Measurements & Calculations,IVSd,measurements_calculations.ivsd,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""IVSd"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",10,3,2026-03-13 03:48:55,2026-03-30 05:30:09
27,5,Measurements & Calculations,LVOT VTI,measurements_calculations.lvot_vti,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LVOT VTI"",""measurement_unit"":""cm"",""measurement_category"":""mmode""}",6,3,2026-03-13 03:48:55,2026-03-30 05:30:09
28,5,Measurements & Calculations,LVIDd,measurements_calculations.lvidd,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LVIDd"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",11,3,2026-03-13 03:48:55,2026-03-30 05:30:09
29,5,Measurements & Calculations,TAPSE,measurements_calculations.tapse,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""TAPSE"",""measurement_unit"":""cmp"",""measurement_category"":""mmode""}",9,3,2026-03-13 03:48:55,2026-03-30 05:30:09
30,5,Measurements & Calculations,IVSs,measurements_calculations.ivss,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""IVSs"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",13,3,2026-03-13 03:48:55,2026-03-30 05:30:09
31,5,Measurements & Calculations,LVPWd,measurements_calculations.lvpwd,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LVPWd"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",12,3,2026-03-13 03:48:55,2026-03-30 05:30:09
32,5,Measurements & Calculations,LVIDs,measurements_calculations.lvids,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LVIDs"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",14,3,2026-03-13 03:48:55,2026-03-30 05:30:09
33,5,Measurements & Calculations,LVPWs,measurements_calculations.lvpws,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LVPWs"",""measurement_unit"":""mm"",""measurement_category"":""mmode""}",15,3,2026-03-13 03:48:55,2026-03-30 05:30:09
34,5,Measurements & Calculations,LVMI,measurements_calculations.lvmi,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LVMI"",""measurement_unit"":""gr\/m\u00b2"",""measurement_category"":""mmode""}",16,3,2026-03-13 03:48:55,2026-03-30 05:30:09
35,5,Measurements & Calculations,RWT,measurements_calculations.rwt,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""RWT"",""measurement_unit"":""[no_uom]"",""measurement_category"":""mmode""}",17,3,2026-03-13 03:48:55,2026-03-30 05:30:09
36,5,Measurements & Calculations,MV E Vel,measurements_calculations.mv_e_vel,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""MV E Vel"",""measurement_unit"":""m\/s"",""measurement_category"":""doppler""}",19,3,2026-03-13 03:48:55,2026-03-30 05:30:09
37,5,Measurements & Calculations,EF (teich),measurements_calculations.ef_teich,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""EF (teich)"",""measurement_unit"":""%"",""measurement_category"":""mmode""}",7,3,2026-03-13 03:48:55,2026-03-30 05:30:09
38,5,Measurements & Calculations,MV E/A Ratio,measurements_calculations.mv_ea_ratio,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""MV E\/A Ratio"",""measurement_unit"":""[no_uom]"",""measurement_category"":""doppler""}",18,3,2026-03-13 03:48:55,2026-03-30 05:30:09
39,5,Measurements & Calculations,MV e' septal,measurements_calculations.mv_e_septal,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""MV e' septal"",""measurement_unit"":""cm\/s"",""measurement_category"":""doppler""}",21,3,2026-03-13 03:48:55,2026-03-30 05:30:09
40,5,Measurements & Calculations,MV e' lateral,measurements_calculations.mv_e_lateral,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""MV e' lateral"",""measurement_unit"":""cm\/s"",""measurement_category"":""doppler""}",22,3,2026-03-13 03:48:55,2026-03-30 05:30:09
41,5,Measurements & Calculations,EF (biplane),measurements_calculations.ef_biplane,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""EF (biplane)"",""measurement_unit"":""%"",""measurement_category"":""mmode""}",8,3,2026-03-13 03:48:55,2026-03-30 05:30:09
42,5,Measurements & Calculations,LAVI,measurements_calculations.lavi,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""LAVI"",""measurement_unit"":""gr\/m\u00b2"",""measurement_category"":""doppler""}",25,3,2026-03-13 03:48:55,2026-03-30 05:30:09
43,5,Measurements & Calculations,PV AccT,measurements_calculations.pv_acct,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""PV AccT"",""measurement_unit"":""ms"",""measurement_category"":""doppler""}",24,3,2026-03-13 03:48:55,2026-03-30 05:30:09
44,5,Measurements & Calculations,MV A Vel,measurements_calculations.mv_a_vel,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""MV A Vel"",""measurement_unit"":""m\/s"",""measurement_category"":""doppler""}",20,3,2026-03-13 03:48:55,2026-03-30 05:30:09
45,5,Measurements & Calculations,E/e' average,measurements_calculations.ee_average,measurement,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""default"":""0.0"",""measurement_name"":""E\/e' average"",""measurement_unit"":""[no_uom]"",""measurement_category"":""doppler""}",23,3,2026-03-13 03:48:55,2026-03-30 05:30:09
46,5,Findings_01_ECG,ECG is,findings_01_ecg.ecg_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""sinus rhythm"",""atrial fibrillation"",""pacing rhythm""]}",1,4,2026-03-13 04:00:26,2026-03-30 05:30:09
47,5,Findings_01_ECG,Additional,findings_01_ecg.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",2,4,2026-03-13 04:01:23,2026-03-30 05:30:09
48,5,Findings_01_ECG,Result,findings_01_ecg.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",3,4,2026-03-13 04:29:04,2026-03-30 05:30:09
49,5,Findings_02_Study Quality,The study quality is,findings_02_study_quality.the_study_quality_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""good"",""adequate"",""poor""]}",1,5,2026-03-13 13:58:51,2026-03-30 05:30:09
50,5,Findings_02_Study Quality,Additional,findings_02_study_quality.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",2,5,2026-03-13 13:58:51,2026-03-30 05:30:09
51,5,Findings_02_Study Quality,Result,findings_02_study_quality.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",3,5,2026-03-13 13:58:51,2026-03-30 05:30:09
52,5,Findings_03_Left Ventricle,LV size is,findings_03_left_ventricle.lv_size_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""dilated"",""smallish"",""D-shaped""]}",1,6,2026-03-13 14:12:13,2026-03-30 05:30:09
53,5,Findings_03_Left Ventricle,LV systolic function is,findings_03_left_ventricle.lv_systolic_function_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""reduced""]}",3,6,2026-03-13 14:12:13,2026-03-30 05:30:09
54,5,Findings_03_Left Ventricle,LV diastolic function is,findings_03_left_ventricle.lv_diastolic_function_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""abnormal"",""indeterminate""]}",4,6,2026-03-13 14:12:13,2026-03-30 05:30:09
55,5,Findings_03_Left Ventricle,Wall thickness is,findings_03_left_ventricle.wall_thickness_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""remodeling of LV"",""concentric left ventricular hypertrophy"",""eccentric left ventricular hypertrophy""]}",2,6,2026-03-13 14:12:13,2026-03-30 05:30:09
56,5,Findings_03_Left Ventricle,Additional,findings_03_left_ventricle.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",5,6,2026-03-13 14:12:13,2026-03-30 05:30:09
57,5,Findings_03_Left Ventricle,Result,findings_03_left_ventricle.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",6,6,2026-03-13 14:12:13,2026-03-30 05:30:09
58,5,Findings_04_Right Ventricle,Wall thickness is,findings_04_right_ventricle.wall_thickness_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""ventricular hypertrophy""]}",2,7,2026-03-13 14:19:06,2026-03-30 05:30:09
59,5,Findings_04_Right Ventricle,RV size is,findings_04_right_ventricle.rv_size_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""dilated""]}",1,7,2026-03-13 14:19:06,2026-03-30 05:30:09
60,5,Findings_04_Right Ventricle,Systolic function is,findings_04_right_ventricle.systolic_function_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""decreased""]}",3,7,2026-03-13 14:19:06,2026-03-30 05:30:09
61,5,Findings_04_Right Ventricle,Result,findings_04_right_ventricle.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",5,7,2026-03-13 14:19:06,2026-03-30 05:30:09
62,5,Findings_04_Right Ventricle,Additional,findings_04_right_ventricle.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",4,7,2026-03-13 14:19:06,2026-03-30 05:30:09
63,5,Findings_05_Left Atrium,Additional,findings_05_left_atrium.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",2,8,2026-03-13 14:23:42,2026-03-30 05:30:09
64,5,Findings_05_Left Atrium,Result,findings_05_left_atrium.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",3,8,2026-03-13 14:23:42,2026-03-30 05:30:09
65,5,Findings_05_Left Atrium,LA size is,findings_05_left_atrium.la_size_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""normal"",""dilated""]}",1,8,2026-03-13 14:23:42,2026-03-30 05:30:09
66,5,Findings_06_Right Atrium,Result,findings_06_right_atrium.result,text,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",3,9,2026-03-13 14:23:42,2026-03-30 05:30:09
67,5,Findings_06_Right Atrium,RA size is,findings_06_right_atrium.ra_size_is,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""Normal"",""dilated""]}",1,9,2026-03-13 14:23:42,2026-03-30 05:30:10
68,5,Findings_06_Right Atrium,Additional,findings_06_right_atrium.additional,text,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",2,9,2026-03-13 14:23:42,2026-03-30 05:30:09
69,5,Findings_07_Interatrial Septum,Additional,findings_07_interatrial_septum.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",2,10,2026-03-13 14:29:50,2026-03-30 05:30:10
70,5,Findings_07_Interatrial Septum,Result,findings_07_interatrial_septum.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",3,10,2026-03-13 14:29:50,2026-03-30 05:30:10
71,5,Findings_07_Interatrial Septum,*,findings_07_interatrial_septum.field,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""Intact interatrial septum."",""There is atrial septal aneurysm."",""Hyperkinetic interatrial septum."",""There is gap at interatrial septum with diameter of"",""There is stretched PFO L to R shunt."",""There is iatrogenic ASD with diameter of"",""Post ASD closure."",""Post device closure.""]}",1,10,2026-03-13 14:33:25,2026-03-30 05:30:09
72,5,Findings_08_Interventricular Septum,*,findings_08_interventricular_septum.field,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""Intact interventricular septum."",""There is gap at IVS, with diameter of"",""There is ventricular septal rupture.""]}",1,11,2026-03-13 14:38:55,2026-03-30 05:30:10
73,5,Findings_08_Interventricular Septum,Additional,findings_08_interventricular_septum.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",2,11,2026-03-13 14:38:55,2026-03-30 05:30:10
74,5,Findings_08_Interventricular Septum,Result,findings_08_interventricular_septum.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",3,11,2026-03-13 14:38:55,2026-03-30 05:30:10
75,5,Findings_09_Aortic Valve,*,findings_09_aortic_valve.field,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""The aortic valve is not well visualized, number cusp could not identified."",""The aortic valve is trileaflet"",""The aortic valve is"",""The aortic valve leaflets appear to be thickened."",""The aortic valve appears rheumatic."",""There is no aortic valve calcification."",""The cusp is heavily calcified."",""There is calcification at"",""There is nodular thickening of""]}",1,12,2026-03-13 14:44:14,2026-03-30 05:30:10
76,5,Findings_09_Aortic Valve,*,findings_09_aortic_valve.field_4,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""The aortic valve opens well."",""The aortic valve is not heavily calcified."",""There is systolic doming of aortic valve."",""There is prolapse of"",""There is flail of""]}",2,12,2026-03-14 13:39:52,2026-03-30 05:30:10
77,5,Findings_09_Aortic Valve,*,findings_09_aortic_valve.field_2,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""No aortic regurgitation is seen."",""There is trace aortic regurgitation."",""There is mild aortic regurgitation."",""There is mild-moderate aortic regurgitation."",""There is moderate aortic regurgitation."",""There is moderate-severe aortic regurgitation."",""There is severe aortic regurgitation."",""Regurgitation jet is central."",""Regurgitation jet is eccentric.""]}",3,12,2026-03-14 13:39:52,2026-03-30 05:30:10
78,5,Findings_09_Aortic Valve,*,findings_09_aortic_valve.field_3,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""There is no valvular aortic stenosis."",""There is mild valvular aortic stenosis."",""There is mild-moderate valvular aortic stenosis."",""There is moderate valvular aortic stenosis."",""There is moderate-severe valvular aortic stenosis."",""There is severe valvular aortic stenosis."",""There is subaortic stenosis."",""There is supravalvar aortic stenosis."",""There is paradoxical aortic stenosis."",""There is low flow low gradient aortic stenosis.""]}",4,12,2026-03-14 13:42:41,2026-03-30 05:30:10
79,5,Findings_09_Aortic Valve,*,findings_09_aortic_valve.field_4,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""No vegetation is seen."",""We cannot exclude vegetation in the aortic valve."",""There is vegetation at"",""There is mobile vegetation at"",""There is abcess at""]}",5,12,2026-03-14 13:51:30,2026-03-30 05:30:10
80,5,Findings_09_Aortic Valve,Additional,findings_09_aortic_valve.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",7,12,2026-03-14 13:51:30,2026-03-30 05:30:10
81,5,Findings_09_Aortic Valve,Results,findings_09_aortic_valve.results,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",8,12,2026-03-14 13:51:30,2026-03-30 05:30:10
82,5,Findings_09_Aortic Valve,*,findings_09_aortic_valve.field_5,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""Aortic valve post repair."",""Aortic valve post replace with biopresthetic."",""Aortic valve post replace with mechanical valve."",""A homograft in aortic valve is in present."",""The opening prosthetic valve is not well visualized."",""The prosthetic valve is well-seated."",""The prosthetic valve opens well."",""There is limited prosthetic valve opening."",""There is thrombus see on prosthetic valve."",""There is possible thrombus on prosthetic valve."",""No leakage is seen."",""There is ... central leakage."",""There is ... paravalvar leakage."",""Doppler evaluation showed normal prosthetic aortic valve gradient."",""Doppler evaluation showed increased prosthetic aortic valve gradient."",""The prosthetic vegetations are suspected."",""The prosthetic vegetations are present."",""The rocking suggests dehiscence in the aortic valve.""]}",6,12,2026-03-14 13:51:30,2026-03-30 05:30:10
83,5,Findings_10_Mitral Valve,*,findings_10_mitral_valve.field_4,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""Mitral valve opens well."",""There is doming of the mitral valve with minimal stenosis."",""There is doming of the mitral valve with restricted opening."",""Opening of mitral valve is restricted."",""There is billowing of mitral valve closure, with no prolapse."",""There is prolapse of"",""There is flail of"",""Chordal rupture is seen."",""There is perforation of"",""There is no SAM is seen."",""There is chordal SAM."",""Systolic anterior motion is present.""]}",2,13,2026-03-14 14:04:37,2026-03-30 05:30:10
84,5,Findings_10_Mitral Valve,*,findings_10_mitral_valve.field_2,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""No mitral regurgitation is seen."",""There is trace mitral regurgitation."",""There is mild mitral regurgitation."",""There is mild-moderate mitral regurgitation."",""There is moderate mitral regurgitation."",""There is moderate-severe mitral regurgitation."",""There is severe mitral regurgitation."",""Regurgitation jet is central."",""Regurgitation jet is eccentric."",""Pulmonary vein systolic reversal flow is present.""]}",3,13,2026-03-14 14:04:37,2026-03-30 05:30:10
85,5,Findings_10_Mitral Valve,*,findings_10_mitral_valve.field,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""The mitral valve is normal."",""The mitral valve is not well visualized."",""The mitral valve structure is normal."",""The mitral valve leaflets appear to be thickened."",""The mitral valve appears rheumatic."",""Mitral valve leaflets appear myxomatous."",""There is redundant elongated chordae."",""Thre is no annular calcification."",""There is mitral annular calcification."",""Mitral cleft is present."",""Valve chordae is thickened and calcified."",""Papillary muscle is thickened and calcified.""]}",1,13,2026-03-14 14:04:37,2026-03-30 05:30:10
86,5,Findings_10_Mitral Valve,*,findings_10_mitral_valve.field_3,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""There is no mitral stenosis."",""There is mild mitral stenosis."",""There is mild-moderate mitral stenosis."",""There is moderate mitral stenosis."",""There is moderate-severe mitral stenosis."",""There is severe mitral stenosis."",""Wilkin's score""]}",4,13,2026-03-14 14:31:08,2026-03-30 05:30:10
87,5,Findings_10_Mitral Valve,*,findings_10_mitral_valve.field_5,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""No vegetation is seen."",""We cannot exclude vegetation at the mitral valve."",""There is vegetation at"",""There is mobile vegetation at"",""There is abcess at""]}",5,13,2026-03-14 14:31:08,2026-03-30 05:30:10
88,5,Findings_10_Mitral Valve,Additional,findings_10_mitral_valve.additional,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""free""}",7,13,2026-03-14 14:31:08,2026-03-30 05:30:10
89,5,Findings_10_Mitral Valve,*,findings_10_mitral_valve.field_5,checkbox_group,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""values"":[""Mitral valve post repair."",""Mitral valve post repair with ring annuloplasty."",""Mitral valve post replace with bioprosthetic."",""Mitral valve post replace with mechanical valve."",""There is no residual mitral regurgitation."",""There is ... residual mitral regurgitation."",""There is ... residual mitral stenosis."",""Prosthetic valve is abnormal."",""The opening prosthetic valve is not well visualized."",""The prosthetic valve is well-seated."",""The prosthetic valve opens well."",""There is limited prosthetic valve opening."",""There is no thrombus see on prosthetic valve."",""There is possible thrombus on prosthetic valve."",""No leakage is seen."",""There is ... cnetral leakage."",""There is ... paravalvar leakage."",""Doppler evaluation showed normal prosthetic mitral valve gradient."",""There is abnormal prosthetic MV gradient."",""The prosthetic vegetations are suspected."",""The prosthetic vegetations are present."",""The rocking suggests dehiscence in the mitral valve""]}",6,13,2026-03-14 14:31:08,2026-03-30 05:30:10
90,5,Findings_10_Mitral Valve,Result,findings_10_mitral_valve.result,textarea,"{""required"":false,""static"":false,""style"":{""align"":""center""},""show_section_name"":true,""textarea_mode"":""result""}",8,13,2026-03-14 14:31:08,2026-03-30 05:30:10
